IDENTIFIER,NAME OF COMPANY,EXCHANGE,SYMBOL
PCBL,PCBL LIMITED,NSE,PCBL.NS
PCJEWELLER,PC Jeweller Limited,NSE,PCJEWELLER.NS
PDMJEPAPER,Pudumjee Paper Products Limited,NSE,PDMJEPAPER.NS
PDPL,Parenteral Drugs (India) Limited,NSE,PDPL.NS
PDSL,PDS Limited,NSE,PDSL.NS
PEARLPOLY,Pearl Polymers Limited,NSE,PEARLPOLY.NS
PEL,Piramal Enterprises Limited,NSE,PEL.NS
PENIND,Pennar Industries Limited,NSE,PENIND.NS
PENINLAND,Peninsula Land Limited,NSE,PENINLAND.NS
PERSISTENT,Persistent Systems Limited,NSE,PERSISTENT.NS
PETRONET,Petronet LNG Limited,NSE,PETRONET.NS
PFC,Power Finance Corporation Limited,NSE,PFC.NS
PFIZER,Pfizer Limited,NSE,PFIZER.NS
PFOCUS,Prime Focus Limited,NSE,PFOCUS.NS
PFS,PTC India Financial Services Limited,NSE,PFS.NS
PGEL,PG Electroplast Limited,NSE,PGEL.NS
PGHH,Procter & Gamble Hygiene and Health Care Limited,NSE,PGHH.NS
PGHL,Procter & Gamble Health Limited,NSE,PGHL.NS
PGIL,Pearl Global Industries Limited,NSE,PGIL.NS
PHOENIXLTD,The Phoenix Mills Limited,NSE,PHOENIXLTD.NS
PIDILITIND,Pidilite Industries Limited,NSE,PIDILITIND.NS
PIGL,Power & Instrumentation (Gujarat) Limited,NSE,PIGL.NS
PIIND,PI Industries Limited,NSE,PIIND.NS
PILANIINVS,Pilani Investment and Industries Corporation Limited,NSE,PILANIINVS.NS
PILITA,PIL ITALICA LIFESTYLE LIMITED,NSE,PILITA.NS
PIONEEREMB,Pioneer Embroideries Limited,NSE,PIONEEREMB.NS
PITTIENG,Pitti Engineering Limited,NSE,PITTIENG.NS
PIXTRANS,Pix Transmissions Limited,NSE,PIXTRANS.NS
PKTEA,The Peria Karamalai Tea & Produce Company Limited,NSE,PKTEA.NS
PLASTIBLEN,Plastiblends India Limited,NSE,PLASTIBLEN.NS
PNB,Punjab National Bank,NSE,PNB.NS
PNBGILTS,PNB Gilts Limited,NSE,PNBGILTS.NS
PNBHOUSING,PNB Housing Finance Limited,NSE,PNBHOUSING.NS
PNC,Pritish Nandy Communications Limited,NSE,PNC.NS
PNCINFRA,PNC Infratech Limited,NSE,PNCINFRA.NS
POCL,Pondy Oxides & Chemicals Limited,NSE,POCL.NS
PODDARHOUS,Poddar Housing and Development Limited,NSE,PODDARHOUS.NS
PODDARMENT,Poddar Pigments Limited,NSE,PODDARMENT.NS
POKARNA,Pokarna Limited,NSE,POKARNA.NS
POLICYBZR,PB Fintech Limited,NSE,POLICYBZR.NS
POLYCAB,Polycab India Limited,NSE,POLYCAB.NS
POLYMED,Poly Medicure Limited,NSE,POLYMED.NS
POLYPLEX,Polyplex Corporation Limited,NSE,POLYPLEX.NS
PONNIERODE,Ponni Sugars (Erode) Limited,NSE,PONNIERODE.NS
POONAWALLA,Poonawalla Fincorp Limited,NSE,POONAWALLA.NS
POWERGRID,Power Grid Corporation of India Limited,NSE,POWERGRID.NS
POWERINDIA,Hitachi Energy India Limited,NSE,POWERINDIA.NS
POWERMECH,Power Mech Projects Limited,NSE,POWERMECH.NS
PPAP,PPAP Automotive Limited,NSE,PPAP.NS
PPL,Prakash Pipes Limited,NSE,PPL.NS
PPLPHARMA,Piramal Pharma Limited,NSE,PPLPHARMA.NS
PRAENG,Prajay Engineers Syndicate Limited,NSE,PRAENG.NS
PRAJIND,Praj Industries Limited,NSE,PRAJIND.NS
PRAKASH,Prakash Industries Limited,NSE,PRAKASH.NS
PRAKASHSTL,Prakash Steelage Limited,NSE,PRAKASHSTL.NS
PRAXIS,Praxis Home Retail Limited,NSE,PRAXIS.NS
PRECAM,Precision Camshafts Limited,NSE,PRECAM.NS
PRECOT,Precot Limited,NSE,PRECOT.NS
PRECWIRE,Precision Wires India Limited,NSE,PRECWIRE.NS
PREMEXPLN,Premier Explosives Limited,NSE,PREMEXPLN.NS
PREMIER,Premier Limited,NSE,PREMIER.NS
PREMIERPOL,Premier Polyfilm Limited,NSE,PREMIERPOL.NS
PRESSMN,Pressman Advertising Limited,NSE,PRESSMN.NS
PRESTIGE,Prestige Estates Projects Limited,NSE,PRESTIGE.NS
PRICOLLTD,Pricol Limited,NSE,PRICOLLTD.NS
PRIMESECU,Prime Securities Limited,NSE,PRIMESECU.NS
PRINCEPIPE,Prince Pipes And Fittings Limited,NSE,PRINCEPIPE.NS
PRITI,Priti International Limited,NSE,PRITI.NS
PRITIKAUTO,Pritika Auto Industries Limited,NSE,PRITIKAUTO.NS
PRIVISCL,Privi Speciality Chemicals Limited,NSE,PRIVISCL.NS
PROZONINTU,Prozone Intu Properties Limited,NSE,PROZONINTU.NS
PRSMJOHNSN,Prism Johnson Limited,NSE,PRSMJOHNSN.NS
PRUDENT,Prudent Corporate Advisory Services Limited,NSE,PRUDENT.NS
PSB,Punjab & Sind Bank,NSE,PSB.NS
PSPPROJECT,PSP Projects Limited,NSE,PSPPROJECT.NS
PTC,PTC India Limited,NSE,PTC.NS
PTCIL,PTC Industries Limited,NSE,PTCIL.NS
PTL,PTL Enterprises Limited,NSE,PTL.NS
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,NSE,PUNJABCHEM.NS
PURVA,Puravankara Limited,NSE,PURVA.NS
PVP,PVP Ventures Limited,NSE,PVP.NS
PVRINOX,PVR INOX Limited,NSE,PVRINOX.NS
QUESS,Quess Corp Limited,NSE,QUESS.NS
QUICKHEAL,Quick Heal Technologies Limited,NSE,QUICKHEAL.NS
QUINTEGRA,Quintegra Solutions Limited,NSE,QUINTEGRA.NS
RACE,Race Eco Chain Limited,NSE,RACE.NS
RADAAN,Radaan Mediaworks India Limited,NSE,RADAAN.NS
RADHIKAJWE,Radhika Jeweltech Limited,NSE,RADHIKAJWE.NS
RADIANTCMS,Radiant Cash Management Services Limited,NSE,RADIANTCMS.NS
RADICO,Radico Khaitan Limited,NSE,RADICO.NS
RADIOCITY,Music Broadcast Limited,NSE,RADIOCITY.NS
RAILTEL,Railtel Corporation Of India Limited,NSE,RAILTEL.NS
RAIN,Rain Industries Limited,NSE,RAIN.NS
RAINBOW,Rainbow Childrens Medicare Limited,NSE,RAINBOW.NS
RAJESHEXPO,Rajesh Exports Limited,NSE,RAJESHEXPO.NS
RAJMET,Rajnandini Metal Limited,NSE,RAJMET.NS
RAJRATAN,Rajratan Global Wire Limited,NSE,RAJRATAN.NS
RAJRILTD,Raj Rayon Industries Limited,NSE,RAJRILTD.NS
RAJSREESUG,Rajshree Sugars & Chemicals Limited,NSE,RAJSREESUG.NS
RAJTV,Raj Television Network Limited,NSE,RAJTV.NS
RAJVIR,Rajvir Industries Limited,NSE,RAJVIR.NS
RALLIS,Rallis India Limited,NSE,RALLIS.NS
RAMANEWS,Shree Rama Newsprint Limited,NSE,RAMANEWS.NS
RAMAPHO,Rama Phosphates Limited,NSE,RAMAPHO.NS
RAMASTEEL,Rama Steel Tubes Limited,NSE,RAMASTEEL.NS
RAMCOCEM,The Ramco Cements Limited,NSE,RAMCOCEM.NS
RAMCOIND,Ramco Industries Limited,NSE,RAMCOIND.NS
RAMCOSYS,Ramco Systems Limited,NSE,RAMCOSYS.NS
RAMKY,Ramky Infrastructure Limited,NSE,RAMKY.NS
RAMRAT,Ram Ratna Wires Limited,NSE,RAMRAT.NS
RANASUG,Rana Sugars Limited,NSE,RANASUG.NS
RANEENGINE,Rane Engine Valve Limited,NSE,RANEENGINE.NS
RANEHOLDIN,Rane Holdings Limited,NSE,RANEHOLDIN.NS
RATEGAIN,Rategain Travel Technologies Limited,NSE,RATEGAIN.NS
RATNAMANI,Ratnamani Metals & Tubes Limited,NSE,RATNAMANI.NS
RAYMOND,Raymond Limited,NSE,RAYMOND.NS
RBA,Restaurant Brands Asia Limited,NSE,RBA.NS
RBL,Rane Brake Lining Limited,NSE,RBL.NS
RBLBANK,RBL Bank Limited,NSE,RBLBANK.NS
RCF,Rashtriya Chemicals and Fertilizers Limited,NSE,RCF.NS
RCOM,Reliance Communications Limited,NSE,RCOM.NS
RECLTD,REC Limited,NSE,RECLTD.NS
REDINGTON,Redington Limited,NSE,REDINGTON.NS
REFEX,Refex Industries Limited,NSE,REFEX.NS
REGENCERAM,Regency Ceramics Limited,NSE,REGENCERAM.NS
RELAXO,Relaxo Footwears Limited,NSE,RELAXO.NS
RELCAPITAL,Reliance Capital Limited,NSE,RELCAPITAL.NS
RELCHEMQ,Reliance Chemotex Industries Limited,NSE,RELCHEMQ.NS
RELIANCE,Reliance Industries Limited,NSE,RELIANCE.NS
RELIGARE,Religare Enterprises Limited,NSE,RELIGARE.NS
RELINFRA,Reliance Infrastructure Limited,NSE,RELINFRA.NS
REMSONSIND,Remsons Industries Limited,NSE,REMSONSIND.NS
RENUKA,Shree Renuka Sugars Limited,NSE,RENUKA.NS
REPCOHOME,Repco Home Finance Limited,NSE,REPCOHOME.NS
REPL,Rudrabhishek Enterprises Limited,NSE,REPL.NS
REPRO,Repro India Limited,NSE,REPRO.NS
RESPONIND,Responsive Industries Limited,NSE,RESPONIND.NS
REVATHI,Revathi Equipment Limited,NSE,REVATHI.NS
RGL,Renaissance Global Limited,NSE,RGL.NS
RHFL,Reliance Home Finance Limited,NSE,RHFL.NS
RHIM,RHI MAGNESITA INDIA LIMITED,NSE,RHIM.NS
RHL,Robust Hotels Limited,NSE,RHL.NS
RICOAUTO,Rico Auto Industries Limited,NSE,RICOAUTO.NS
RIIL,Reliance Industrial Infrastructure Limited,NSE,RIIL.NS
RITCO,Ritco Logistics Limited,NSE,RITCO.NS
RITES,RITES Limited,NSE,RITES.NS
RKDL,Ravi Kumar Distilleries Limited,NSE,RKDL.NS
RKEC,RKEC Projects Limited,NSE,RKEC.NS
RKFORGE,Ramkrishna Forgings Limited,NSE,RKFORGE.NS
RMCL,Radha Madhav Corporation Limited,NSE,RMCL.NS
RML,Rane (Madras) Limited,NSE,RML.NS
ROHLTD,Royal Orchid Hotels Limited,NSE,ROHLTD.NS
ROLEXRINGS,Rolex Rings Limited,NSE,ROLEXRINGS.NS
ROLLT,Rollatainers Limited,NSE,ROLLT.NS
ROLTA,Rolta India Limited,NSE,ROLTA.NS
ROML,Raj Oil Mills Limited,NSE,ROML.NS
ROSSARI,Rossari Biotech Limited,NSE,ROSSARI.NS
ROSSELLIND,Rossell India Limited,NSE,ROSSELLIND.NS
ROTO,Roto Pumps Limited,NSE,ROTO.NS
ROUTE,ROUTE MOBILE LIMITED,NSE,ROUTE.NS
RPGLIFE,RPG Life Sciences Limited,NSE,RPGLIFE.NS
RPOWER,Reliance Power Limited,NSE,RPOWER.NS
RPPINFRA,R.P.P. Infra Projects Limited,NSE,RPPINFRA.NS
RPPL,Rajshree Polypack Limited,NSE,RPPL.NS
RPSGVENT,RPSG VENTURES LIMITED,NSE,RPSGVENT.NS
RSSOFTWARE,R. S. Software (India) Limited,NSE,RSSOFTWARE.NS
RSWM,RSWM Limited,NSE,RSWM.NS
RSYSTEMS,R Systems International Limited,NSE,RSYSTEMS.NS
RTNINDIA,RattanIndia Enterprises Limited,NSE,RTNINDIA.NS
RTNPOWER,RattanIndia Power Limited,NSE,RTNPOWER.NS
RUBYMILLS,The Ruby Mills Limited,NSE,RUBYMILLS.NS
RUCHINFRA,Ruchi Infrastructure Limited,NSE,RUCHINFRA.NS
RUCHIRA,Ruchira Papers Limited,NSE,RUCHIRA.NS
RUPA,Rupa & Company Limited,NSE,RUPA.NS
RUSHIL,Rushil Decor Limited,NSE,RUSHIL.NS
RUSTOMJEE,Keystone Realtors Limited,NSE,RUSTOMJEE.NS
RVHL,Ravinder Heights Limited,NSE,RVHL.NS
RVNL,Rail Vikas Nigam Limited,NSE,RVNL.NS
S&SPOWER,S&S Power Switchgears Limited,NSE,S&SPOWER.NS
SABEVENTS,Sab Events & Governance Now Media Limited,NSE,SABEVENTS.NS
SABTN,Sri Adhikari Brothers Television Network Limited,NSE,SABTN.NS
SADBHAV,Sadbhav Engineering Limited,NSE,SADBHAV.NS
SADBHIN,Sadbhav Infrastructure Project Limited,NSE,SADBHIN.NS
SADHNANIQ,Sadhana Nitrochem Limited,NSE,SADHNANIQ.NS
SAFARI,Safari Industries (India) Limited,NSE,SAFARI.NS
SAGARDEEP,Sagardeep Alloys Limited,NSE,SAGARDEEP.NS
SAGCEM,Sagar Cements Limited,NSE,SAGCEM.NS
SAH,Sah Polymers Limited,NSE,SAH.NS
SAHYADRI,Sahyadri Industries Limited,NSE,SAHYADRI.NS
SAIL,Steel Authority of India Limited,NSE,SAIL.NS
SAKAR,Sakar Healthcare Limited,NSE,SAKAR.NS
SAKHTISUG,Sakthi Sugars Limited,NSE,SAKHTISUG.NS
SAKSOFT,Saksoft Limited,NSE,SAKSOFT.NS
SAKUMA,Sakuma Exports Limited,NSE,SAKUMA.NS
SALASAR,Salasar Techno Engineering Limited,NSE,SALASAR.NS
SALONA,Salona Cotspin Limited,NSE,SALONA.NS
SALSTEEL,S.A.L. Steel Limited,NSE,SALSTEEL.NS
SALZERELEC,Salzer Electronics Limited,NSE,SALZERELEC.NS
SAMBHAAV,Sambhaav Media Limited,NSE,SAMBHAAV.NS
SANCO,Sanco Industries Limited,NSE,SANCO.NS
SANDESH,The Sandesh Limited,NSE,SANDESH.NS
SANDHAR,Sandhar Technologies Limited,NSE,SANDHAR.NS
SANGAMIND,Sangam (India) Limited,NSE,SANGAMIND.NS
SANGHIIND,Sanghi Industries Limited,NSE,SANGHIIND.NS
SANGHVIMOV,Sanghvi Movers Limited,NSE,SANGHVIMOV.NS
SANGINITA,Sanginita Chemicals Limited,NSE,SANGINITA.NS
SANOFI,Sanofi India Limited,NSE,SANOFI.NS
SANSERA,Sansera Engineering Limited,NSE,SANSERA.NS
SANWARIA,Sanwaria Consumer Limited,NSE,SANWARIA.NS
SAPPHIRE,Sapphire Foods India Limited,NSE,SAPPHIRE.NS
SARDAEN,Sarda Energy & Minerals Limited,NSE,SARDAEN.NS
SAREGAMA,Saregama India Limited,NSE,SAREGAMA.NS
SARLAPOLY,Sarla Performance Fibers Limited,NSE,SARLAPOLY.NS
SARVESHWAR,Sarveshwar Foods Limited,NSE,SARVESHWAR.NS
SASKEN,Sasken Technologies Limited,NSE,SASKEN.NS
SASTASUNDR,Sastasundar Ventures Limited,NSE,SASTASUNDR.NS
SATIA,Satia Industries Limited,NSE,SATIA.NS
SATIN,Satin Creditcare Network Limited,NSE,SATIN.NS
SATINDLTD,Sat Industries Limited,NSE,SATINDLTD.NS
SBC,SBC Exports Limited,NSE,SBC.NS
SBCL,Shivalik Bimetal Controls Limited,NSE,SBCL.NS
SBGLP,Suratwwala Business Group Limited,NSE,SBGLP.NS
SBICARD,SBI Cards and Payment Services Limited,NSE,SBICARD.NS
SBILIFE,SBI Life Insurance Company Limited,NSE,SBILIFE.NS
SBIN,State Bank of India,NSE,SBIN.NS
SCAPDVR,Stampede Capital Limited,NSE,SCAPDVR.NS
SCHAEFFLER,Schaeffler India Limited,NSE,SCHAEFFLER.NS
SCHAND,S Chand And Company Limited,NSE,SCHAND.NS
SCHNEIDER,Schneider Electric Infrastructure Limited,NSE,SCHNEIDER.NS
SCI,Shipping Corporation Of India Limited,NSE,SCI.NS
SCPL,Sheetal Cool Products Limited,NSE,SCPL.NS
SDBL,Som Distilleries & Breweries Limited,NSE,SDBL.NS
SEAMECLTD,Seamec Limited,NSE,SEAMECLTD.NS
SECURCRED,SecUR Credentials Limited,NSE,SECURCRED.NS
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,NSE,SECURKLOUD.NS
SEJALLTD,Sejal Glass Limited,NSE,SEJALLTD.NS
SELAN,Selan Exploration Technology Limited,NSE,SELAN.NS
SELMC,SEL Manufacturing Company Limited,NSE,SELMC.NS
SENCO,Senco Gold Limited,NSE,SENCO.NS
SEPC,SEPC Limited,NSE,SEPC.NS
SEPOWER,S.E. Power Limited,NSE,SEPOWER.NS
SEQUENT,Sequent Scientific Limited,NSE,SEQUENT.NS
SERVOTECH,Servotech Power Systems Limited,NSE,SERVOTECH.NS
SESHAPAPER,Seshasayee Paper and Boards Limited,NSE,SESHAPAPER.NS
SETCO,Setco Automotive Limited,NSE,SETCO.NS
SETUINFRA,Setubandhan Infrastructure Limited,NSE,SETUINFRA.NS
SEYAIND,Seya Industries Limited,NSE,SEYAIND.NS
SFL,Sheela Foam Limited,NSE,SFL.NS
SGIL,Synergy Green Industries Limited,NSE,SGIL.NS
SGL,STL Global Limited,NSE,SGL.NS
SHAH,Shah Metacorp Limited,NSE,SHAH.NS
SHAHALLOYS,Shah Alloys Limited,NSE,SHAHALLOYS.NS
SHAILY,Shaily Engineering Plastics Limited,NSE,SHAILY.NS
SHAKTIPUMP,Shakti Pumps (India) Limited,NSE,SHAKTIPUMP.NS
SHALBY,Shalby Limited,NSE,SHALBY.NS
SHALPAINTS,Shalimar Paints Limited,NSE,SHALPAINTS.NS
SHANKARA,Shankara Building Products Limited,NSE,SHANKARA.NS
SHANTI,Shanti Overseas (India) Limited,NSE,SHANTI.NS
SHANTIGEAR,Shanthi Gears Limited,NSE,SHANTIGEAR.NS
SHARDACROP,Sharda Cropchem Limited,NSE,SHARDACROP.NS
SHARDAMOTR,Sharda Motor Industries Limited,NSE,SHARDAMOTR.NS
SHAREINDIA,Share India Securities Limited,NSE,SHAREINDIA.NS
SHEMAROO,Shemaroo Entertainment Limited,NSE,SHEMAROO.NS
SHILPAMED,Shilpa Medicare Limited,NSE,SHILPAMED.NS
SHIVALIK,Shivalik Rasayan Limited,NSE,SHIVALIK.NS
SHIVAMAUTO,Shivam Autotech Limited,NSE,SHIVAMAUTO.NS
SHIVAMILLS,Shiva Mills Limited,NSE,SHIVAMILLS.NS
SHIVATEX,Shiva Texyarn Limited,NSE,SHIVATEX.NS
SHK,S H Kelkar and Company Limited,NSE,SHK.NS
SHOPERSTOP,Shoppers Stop Limited,NSE,SHOPERSTOP.NS
SHRADHA,Shradha Infraprojects Limited,NSE,SHRADHA.NS
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,NSE,SHREDIGCEM.NS
SHREECEM,SHREE CEMENT LIMITED,NSE,SHREECEM.NS
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,NSE,SHREEPUSHK.NS
SHREERAMA,Shree Rama Multi-Tech Limited,NSE,SHREERAMA.NS
SHRENIK,Shrenik Limited,NSE,SHRENIK.NS
SHREYANIND,Shreyans Industries Limited,NSE,SHREYANIND.NS
SHREYAS,Shreyas Shipping & Logistics Limited,NSE,SHREYAS.NS
SHRIPISTON,Shriram Pistons & Rings Limited,NSE,SHRIPISTON.NS
SHRIRAMFIN,Shriram Finance Limited,NSE,SHRIRAMFIN.NS
SHRIRAMPPS,Shriram Properties Limited,NSE,SHRIRAMPPS.NS
SHYAMCENT,Shyam Century Ferrous Limited,NSE,SHYAMCENT.NS
SHYAMMETL,Shyam Metalics and Energy Limited,NSE,SHYAMMETL.NS
SHYAMTEL,Shyam Telecom Limited,NSE,SHYAMTEL.NS
SIEMENS,Siemens Limited,NSE,SIEMENS.NS
SIGACHI,Sigachi Industries Limited,NSE,SIGACHI.NS
SIGIND,Signet Industries Limited,NSE,SIGIND.NS
SIGMA,Sigma Solve Limited,NSE,SIGMA.NS
SIKKO,Sikko Industries Limited,NSE,SIKKO.NS
SIL,Standard Industries Limited,NSE,SIL.NS
SILGO,Silgo Retail Limited,NSE,SILGO.NS
SILINV,SIL Investments Limited,NSE,SILINV.NS
SILLYMONKS,Silly Monks Entertainment Limited,NSE,SILLYMONKS.NS
SILVERTUC,Silver Touch Technologies Limited,NSE,SILVERTUC.NS
SIMBHALS,Simbhaoli Sugars Limited,NSE,SIMBHALS.NS
SIMPLEXINF,Simplex Infrastructures Limited,NSE,SIMPLEXINF.NS
SINDHUTRAD,Sindhu Trade Links Limited,NSE,SINDHUTRAD.NS
SINTERCOM,Sintercom India Limited,NSE,SINTERCOM.NS
SIRCA,Sirca Paints India Limited,NSE,SIRCA.NS
SIS,SIS LIMITED,NSE,SIS.NS
SITINET,Siti Networks Limited,NSE,SITINET.NS
SIYSIL,Siyaram Silk Mills Limited,NSE,SIYSIL.NS
SJS,S.J.S. Enterprises Limited,NSE,SJS.NS
SJVN,SJVN Limited,NSE,SJVN.NS
SKFINDIA,SKF India Limited,NSE,SKFINDIA.NS
SKIL,SKIL Infrastructure Limited,NSE,SKIL.NS
SKIPPER,Skipper Limited,NSE,SKIPPER.NS
SKMEGGPROD,SKM Egg Products Export (India) Limited,NSE,SKMEGGPROD.NS
SKYGOLD,Sky Gold Limited,NSE,SKYGOLD.NS
SMARTLINK,Smartlink Holdings Limited,NSE,SMARTLINK.NS
SMCGLOBAL,SMC Global Securities Limited,NSE,SMCGLOBAL.NS
SMLISUZU,SML Isuzu Limited,NSE,SMLISUZU.NS
SMLT,Sarthak Metals Limited,NSE,SMLT.NS
SMSLIFE,SMS Lifesciences India Limited,NSE,SMSLIFE.NS
SMSPHARMA,SMS Pharmaceuticals Limited,NSE,SMSPHARMA.NS
SNOWMAN,Snowman Logistics Limited,NSE,SNOWMAN.NS
SOBHA,Sobha Limited,NSE,SOBHA.NS
SOFTTECH,Softtech Engineers Limited,NSE,SOFTTECH.NS
SOLARA,Solara Active Pharma Sciences Limited,NSE,SOLARA.NS
SOLARINDS,Solar Industries India Limited,NSE,SOLARINDS.NS
SOMANYCERA,Somany Ceramics Limited,NSE,SOMANYCERA.NS
SOMATEX,Soma Textiles & Industries Limited,NSE,SOMATEX.NS
SOMICONVEY,Somi Conveyor Beltings Limited,NSE,SOMICONVEY.NS
SONACOMS,Sona BLW Precision Forgings Limited,NSE,SONACOMS.NS
SONAMCLOCK,Sonam Clock Limited,NSE,SONAMCLOCK.NS
SONATSOFTW,Sonata Software Limited,NSE,SONATSOFTW.NS
SOTL,Savita Oil Technologies Limited,NSE,SOTL.NS
SOUTHBANK,The South Indian Bank Limited,NSE,SOUTHBANK.NS
SOUTHWEST,South West Pinnacle Exploration Limited,NSE,SOUTHWEST.NS
SPAL,S. P. Apparels Limited,NSE,SPAL.NS
SPANDANA,Spandana Sphoorty Financial Limited,NSE,SPANDANA.NS
SPARC,Sun Pharma Advanced Research Company Limited,NSE,SPARC.NS
SPCENET,Spacenet Enterprises India Limited,NSE,SPCENET.NS
SPECIALITY,Speciality Restaurants Limited,NSE,SPECIALITY.NS
SPENCERS,Spencer's Retail Limited,NSE,SPENCERS.NS
SPENTEX,Spentex Industries Limited,NSE,SPENTEX.NS
SPIC,Southern Petrochemicals Industries Corporation  Limited,NSE,SPIC.NS
SPLIL,SPL Industries Limited,NSE,SPLIL.NS
SPLPETRO,Supreme Petrochem Limited,NSE,SPLPETRO.NS
SPMLINFRA,SPML Infra Limited,NSE,SPMLINFRA.NS
SPORTKING,Sportking India Limited,NSE,SPORTKING.NS
SPTL,Sintex Plastics Technology Limited,NSE,SPTL.NS
SPYL,Shekhawati Poly-Yarn Limited,NSE,SPYL.NS
SREEL,Sreeleathers Limited,NSE,SREEL.NS
SREINFRA,SREI Infrastructure Finance Limited,NSE,SREINFRA.NS
SRF,SRF Limited,NSE,SRF.NS
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,NSE,SRHHYPOLTD.NS
SRPL,Shree Ram Proteins Limited,NSE,SRPL.NS
SRPL-RE,Shree Ram Pro Ltd-RE,NSE,SRPL-RE.NS
SSWL,Steel Strips Wheels Limited,NSE,SSWL.NS
STAR,Strides Pharma Science Limited,NSE,STAR.NS
STARCEMENT,Star Cement Limited,NSE,STARCEMENT.NS
STARHEALTH,Star Health and Allied Insurance Company Limited,NSE,STARHEALTH.NS
STARPAPER,Star Paper Mills Limited,NSE,STARPAPER.NS
STARTECK,Starteck Finance Limited,NSE,STARTECK.NS
STCINDIA,The State Trading Corporation of India Limited,NSE,STCINDIA.NS
STEELCAS,Steelcast Limited,NSE,STEELCAS.NS
STEELCITY,Steel City Securities Limited,NSE,STEELCITY.NS
STEELXIND,STEEL EXCHANGE INDIA LIMITED,NSE,STEELXIND.NS
STEL,Stel Holdings Limited,NSE,STEL.NS
STERTOOLS,Sterling Tools Limited,NSE,STERTOOLS.NS
STLTECH,Sterlite Technologies Limited,NSE,STLTECH.NS
STOVEKRAFT,Stove Kraft Limited,NSE,STOVEKRAFT.NS
STYLAMIND,Stylam Industries Limited,NSE,STYLAMIND.NS
STYRENIX,Styrenix Performance Materials Limited,NSE,STYRENIX.NS
SUBEXLTD,Subex Limited,NSE,SUBEXLTD.NS
SUBROS,Subros Limited,NSE,SUBROS.NS
SUDARSCHEM,Sudarshan Chemical Industries Limited,NSE,SUDARSCHEM.NS
SUKHJITS,Sukhjit Starch & Chemicals Limited,NSE,SUKHJITS.NS
SULA,Sula Vineyards Limited,NSE,SULA.NS
SUMEETINDS,Sumeet Industries Limited,NSE,SUMEETINDS.NS
SUMICHEM,Sumitomo Chemical India Limited,NSE,SUMICHEM.NS
SUMIT,Sumit Woods Limited,NSE,SUMIT.NS
SUMMITSEC,Summit Securities Limited,NSE,SUMMITSEC.NS
SUNCLAYLTD,Sundaram Clayton Limited,NSE,SUNCLAYLTD.NS
SUNDARAM,Sundaram Multi Pap Limited,NSE,SUNDARAM.NS
SUNDARMFIN,Sundaram Finance Limited,NSE,SUNDARMFIN.NS
SUNDARMHLD,Sundaram Finance Holdings Limited,NSE,SUNDARMHLD.NS
SUNDRMBRAK,Sundaram Brake Linings Limited,NSE,SUNDRMBRAK.NS
SUNDRMFAST,Sundram Fasteners Limited,NSE,SUNDRMFAST.NS
SUNFLAG,Sunflag Iron And Steel Company Limited,NSE,SUNFLAG.NS
SUNPHARMA,Sun Pharmaceutical Industries Limited,NSE,SUNPHARMA.NS
SUNTECK,Sunteck Realty Limited,NSE,SUNTECK.NS
SUNTV,Sun TV Network Limited,NSE,SUNTV.NS
SUPERHOUSE,Superhouse Limited,NSE,SUPERHOUSE.NS
SUPERSPIN,Super Spinning Mills Limited,NSE,SUPERSPIN.NS
SUPRAJIT,Suprajit Engineering Limited,NSE,SUPRAJIT.NS
SUPREMEENG,Supreme Engineering Limited,NSE,SUPREMEENG.NS
SUPREMEIND,Supreme Industries Limited,NSE,SUPREMEIND.NS
SUPREMEINF,Supreme Infrastructure India Limited,NSE,SUPREMEINF.NS
SUPRIYA,Supriya Lifescience Limited,NSE,SUPRIYA.NS
SURANASOL,Surana Solar Limited,NSE,SURANASOL.NS
SURANAT&P,Surana Telecom and Power Limited,NSE,SURANAT&P.NS
SURYALAXMI,Suryalakshmi Cotton Mills Limited,NSE,SURYALAXMI.NS
SURYAROSNI,Surya Roshni Limited,NSE,SURYAROSNI.NS
SURYODAY,Suryoday Small Finance Bank Limited,NSE,SURYODAY.NS
SUTLEJTEX,Sutlej Textiles and Industries Limited,NSE,SUTLEJTEX.NS
SUULD,Suumaya Industries Limited,NSE,SUULD.NS
SUVEN,Suven Life Sciences Limited,NSE,SUVEN.NS
SUVENPHAR,Suven Pharmaceuticals Limited,NSE,SUVENPHAR.NS
SUVIDHAA,Suvidhaa Infoserve Limited,NSE,SUVIDHAA.NS
SUZLON,Suzlon Energy Limited,NSE,SUZLON.NS
SVLL,Shree Vasu Logistics Limited,NSE,SVLL.NS
SVPGLOB,SVP GLOBAL TEXTILES LIMITED,NSE,SVPGLOB.NS
SWANENERGY,Swan Energy Limited,NSE,SWANENERGY.NS
SWARAJENG,Swaraj Engines Limited,NSE,SWARAJENG.NS
SWELECTES,Swelect Energy Systems Limited,NSE,SWELECTES.NS
SWSOLAR,Sterling and Wilson Renewable Energy Limited,NSE,SWSOLAR.NS
